Parameter,Mean,Median,Std,Min,Max,Real Value,MADE,MSE,Size
Parameter 1,0.3336097466699378,0.3387051358158733,0.2675761588923562,-0.4461259488903203,0.9661697014236548,0.3,0.212414643142165,0.0727266158788049,200
Parameter 2,0.1131631445770579,0.1105321873009649,0.2588467588357671,-0.6691131628827756,0.9245553518490988,0.2,0.2117168322151836,0.0745422840195267,200
Parameter 3,0.4866620318774519,0.4902829931069662,0.088510738938102,0.2410945849168848,0.7575357236584043,0.5,0.0713192220696585,0.0080120523010069,200
Parameter 4,0.4513174883764613,0.444680387062225,0.4250261903380321,-0.8482833544296408,1.843477537655248,0.1,0.436929226223151,0.3040712401124061,200
Parameter 5,0.7113429136713667,0.6651247278375363,0.339811753284698,0.0349757751536926,1.7255232720707472,0.5,0.3006875381206035,0.1601378548295233,200
Parameter 6,0.1900781077202017,0.2196644069197779,0.3170282765854088,-0.8118231908374337,1.124206766044259,0.4,0.2931257898799805,0.1445741290130457,200
Parameter 7,-0.0469194599908582,-0.0581673283735826,0.4315428603521114,-1.4803515948382426,1.1122247240809209,0.3,0.444755952825098,0.3065823520412307,200
Parameter 8,0.1841027290271862,0.1826955931502022,0.0795845100355804,-0.0010169313083783,0.4705359177379381,0.2,0.0655506309004588,0.0065864174619864,200
Parameter 1,0.2976644324208375,0.2998244651767856,0.168183890358642,-0.1364947288634814,0.6734186991842394,0.3,0.1335720337419955,0.0282912758520845,500
Parameter 2,0.1597928177903768,0.1545449710314655,0.1785123504023861,-0.4462725975178185,0.6645729438079029,0.2,0.1469083025962507,0.0334832767474221,500
Parameter 3,0.4977128886422555,0.4970516093493233,0.0530803728053049,0.3535124940370203,0.6378658656715281,0.5,0.0421064271239111,0.0028227568555128,500
Parameter 4,0.3726063223054426,0.3953852810774649,0.2897479814310152,-0.4836858250876533,1.101378632073005,0.1,0.337439498637415,0.1582680997042468,500
Parameter 5,0.6081722022821271,0.5868553273368615,0.2081968854804399,0.1392201364489961,1.4648087187084406,0.5,0.1689008076959646,0.0550471684703208,500
Parameter 6,0.2923732009377455,0.31749115646069,0.228139373275013,-0.4778187405732675,0.929747670909923,0.4,0.1936250312231702,0.0636311015147026,500
Parameter 7,0.0288411102584479,0.0083972693523866,0.3051527888272046,-0.767816088204084,1.1162114033096793,0.3,0.3462450485484999,0.1666453680148916,500
Parameter 8,0.1995695276636905,0.1963008626074251,0.0508859952393882,0.0582186148856276,0.3514141823237552,0.2,0.0401595657701015,0.0025895698179353,500
Parameter 1,0.3144058990443548,0.3295666273266632,0.1265902356152393,-0.066994996994069,0.6254567930799318,0.3,0.1019016734127833,0.0162326176803979,1000
Parameter 2,0.1806931434829178,0.1715855232497341,0.1322616504896114,-0.1865410361492816,0.6573519297494385,0.2,0.1041169961315191,0.0178658988988073,1000
Parameter 3,0.4976982259925941,0.4966890617816051,0.0375702917058197,0.3441392888220791,0.6204606295307431,0.5,0.0291921740395663,0.0014168249824415,1000
Parameter 4,0.3510329260274416,0.3538838736337756,0.2076112293011857,-0.3594550005155097,1.1482883464522462,0.1,0.2712553080184972,0.1061199524818485,1000
Parameter 5,0.5672973905391979,0.5445285143269804,0.1459354088150234,0.2797691515856599,0.9643404378973888,0.5,0.1208385626152466,0.0258260823193933,1000
Parameter 6,0.339279674356144,0.3572814565914842,0.1556570117488774,-0.0861449586185475,0.7499433854258643,0.4,0.1289521145849705,0.027916063252886,1000
Parameter 7,0.046373008253144,0.0539352142311242,0.2166283556949347,-0.6608475131551048,0.7544201856402533,0.3,0.2781174611846386,0.1112544954336509,1000
Parameter 8,0.194112691831603,0.193603056687594,0.036646591764671,0.1140438547036948,0.3162513976048756,0.2,0.0296936335582034,0.0013776330854361,1000
