Parameter,Mean,Median,Std,Min,Max,Real Value,MADE,MSE
Parameter 1,0.6699940250214397,0.5921321495033598,0.4287045644788338,-0.4255639634692045,2.550031871680398,0.5,0.32201392393414136,0.21268557214797634
Parameter 2,0.187117132323539,0.2008883504106392,0.375762064779705,-0.8884938469100476,1.3223528559777231,0.3,0.3023608077346312,0.1539396711423686
Parameter 3,0.2502129327722382,0.2320105025537738,0.3213424656922753,-0.5604355790261105,1.4475403888637968,0.2,0.25311603850242614,0.10578231887478047
Parameter 4,0.0918065431082832,0.0936452781350072,0.0720701354143044,-0.1351376557636583,0.2594223512455131,0.1,0.05891004987252856,0.005261237154472605
Parameter 5,0.1834266442876894,0.1784218289239711,0.562137841648775,-1.82483914118884,2.3319713632004557,0.2,0.42772159406138305,0.3162736291331101
Parameter 6,0.4119397167663212,0.4137513512359121,0.3982570628842614,-0.7786584418347553,2.3309637270622847,0.3,0.3057535971125472,0.17113918832692288
Parameter 7,0.1324881183879267,0.1337803559601942,0.3885497379548887,-1.2774045036805803,1.463362721726473,0.1,0.29185526778632087,0.15202637670120062
Parameter 8,0.2299961809361509,0.2385181098225635,0.3065746439978599,-0.7967078814688606,1.164842203436255,0.3,0.24012802045604714,0.09888854702593868
Parameter 9,0.3262791056357241,0.3527773142364988,0.5511494372896789,-1.7945220242728053,2.263913646086285,0.3,0.4226440233674473,0.3044562936177431
Parameter 10,0.2008830191484999,0.1991639921487528,0.0768568718165207,-0.0343876955280509,0.4124890165579587,0.2,0.05961815423456446,0.005907758468237717
