Parameter,Mean,Median,Std,Min,Max,Real Value,MADE,MSE,Size
Parameter 1,0.623313404721173,0.6442925657741705,0.542039287343284,-1.1817685115507175,2.6268052736664127,0.5,0.431024446484037,0.3090127848075431,200
Parameter 2,0.1397367469184306,0.1742473012224917,0.3033286329845724,-0.8121347283114073,0.7724354742034981,0.2,0.2447367322238563,0.0956399192602628,200
Parameter 3,0.3099334213041723,0.2961899433776423,0.2315242998139372,-0.364072923510882,1.0772794064924165,0.3,0.1776858738368844,0.05370217426314,200
Parameter 4,0.1916210942975109,0.1912483672188601,0.079750047707957,0.0018946939770358,0.4782150679638891,0.2,0.0646088721422117,0.0064302761701926,200
Parameter 5,0.644050628433954,0.567485195614831,0.6160335569821114,-1.1988937892322893,2.4449591491179103,0.3,0.5234153589034621,0.4978681782538308,200
Parameter 6,0.2720202787276042,0.2740792110812585,0.2957593799091412,-0.6319231538130562,1.3571829479015298,0.4,0.2516853995408931,0.1038524198611998,200
Parameter 7,0.1726613286461424,0.1991998990342943,0.2336800975145495,-0.4500996342539237,0.7380317196088149,0.2,0.1836757557225407,0.0553537909258036,200
Parameter 8,0.2898974234963954,0.292857690400893,0.0795974050425018,0.0812766445137872,0.511196519348233,0.3,0.06575567753534,0.0064378089415112,200
Parameter 1,0.5924851974570227,0.5625479986289634,0.3213998182697521,-0.3699485279848985,1.6176439072429003,0.5,0.2562198599630486,0.1118513549324941,500
Parameter 2,0.1624579670273794,0.1556170215568545,0.1796715485647314,-0.4520088426932789,0.7136572509723178,0.2,0.1421035286837461,0.0336912696033659,500
Parameter 3,0.2901515988575518,0.2859917042269334,0.1277139468976358,-0.0022852573495408,0.6842937516157449,0.3,0.1022025900445312,0.0164078432372347,500
Parameter 4,0.1996409498383126,0.199933110040399,0.0466387208339934,0.0703138483519017,0.3118812073516981,0.2,0.0373925185755842,0.0021752991980497,500
Parameter 5,0.4578765846802989,0.4425634307153575,0.3272826584980978,-0.5548681581333722,1.1766678836116815,0.3,0.2860987136256785,0.1320389545438981,500
Parameter 6,0.3495784704744425,0.3507629327983289,0.2015200668916323,-0.1508709051357256,0.9095868258977342,0.4,0.165278903159107,0.0431526679997046,500
Parameter 7,0.1734765435156577,0.1793605512095439,0.1523472806143926,-0.3195154142323745,0.6064339217365641,0.2,0.1236826124261372,0.0239131876544772,500
Parameter 8,0.296307458207105,0.2948623601114705,0.0490152704178245,0.1147548378129565,0.4335128616084908,0.3,0.0378875764670297,0.0024161315990247,500
Parameter 1,0.5391046798150062,0.5254283667306975,0.2282806973493533,0.0153676860326718,1.2756612912779852,0.5,0.1868167237442192,0.0536412527657411,1000
Parameter 2,0.1872001097842215,0.1870113829627596,0.137942353313353,-0.1788557614969516,0.510518146460381,0.2,0.1127557335293876,0.0191919300271618,1000
Parameter 3,0.2903329719250454,0.2946510930049599,0.0922052932373275,0.0271904663682276,0.5880409939017057,0.3,0.075829429754219,0.0085952675327835,1000
Parameter 4,0.196256115494308,0.1980645404755253,0.0330524438483027,0.0986938833292522,0.2913276366164654,0.2,0.0258058966784951,0.0011064807155371,1000
Parameter 5,0.3618895614418002,0.3658121463044663,0.2315813412527682,-0.3953895178165761,0.9288652144611252,0.3,0.1877600832794117,0.0574602354318894,1000
Parameter 6,0.3907899267776915,0.3732316486287313,0.1400788308843455,0.02640114825044,0.7617092340578739,0.4,0.1141942763900876,0.0197069043106853,1000
Parameter 7,0.1841068330793485,0.1868725767446759,0.1004757615743956,-0.1588579462168425,0.4008164377803719,0.2,0.081011767283557,0.0103479714187224,1000
Parameter 8,0.2997447543759705,0.2996951893087438,0.0324986216760168,0.2034322521313912,0.381698218446823,0.3,0.0262958382749756,0.0010562255611694,1000
