Parameter,Mean,Median,Std,Min,Max
Parameter 1,1.6561436,1.65805,0.110528892,1.1557,1.9994
Parameter 2,0.49197478,0.491705,0.020243429,0.19332,0.56006
Parameter 3,0.62998248,0.61972,0.058009474,0.13026,0.93971
Parameter 4,0.062592582,0.0617785,0.007502956,0.046731,0.18727
Parameter 5,0.419777198,0.420165,0.029365993,0.062849,0.93949
Parameter 6,0.613230882,0.617045,0.052581654,0.0016011,0.66432
Parameter 7,0.003244128,0.0040075,0.005782136,3.19E-09,0.10481
Parameter 8,0.357222702,0.350975,0.03365831,0.0031668,0.47873
Parameter 9,0.032784304,0.033102,0.001306242,0.0261,0.046166
Parameter 10,0.063673736,0.0652685,0.005067375,0.024115,0.074884
Parameter 11,1.6982578,1.66765,0.067672135,1.4595,1.9777
aic,-4634.818102,,,,
bic,-4591.919231,,,,
