Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.4801191339999998,0.46025499999999997,0.23571771740648906,0.0001813,1.0,0.5
Parameter 2,0.37253362984200017,0.35206000000000004,0.2694771647602742,1.0891e-05,0.99945,0.3
Parameter 3,0.26094954878991977,0.183635,0.2705922217294582,3.3407e-07,0.99896,0.2
Parameter 4,0.23549584629339976,0.11612,0.26843173546882654,2.9015e-07,0.9979,0.1
Parameter 5,0.31674341768,0.213335,0.2478460567588314,0.00080862,0.99414,0.2
Parameter 6,0.3586219983703998,0.319645,0.24350356291155767,2.2852e-06,0.99617,0.3
Parameter 7,0.25262296527183575,0.127575,0.2994440430447172,2.4898e-09,0.99893,0.1
Parameter 8,0.3363715215256002,0.301365,0.2703257712782612,4.4828e-06,0.99247,0.3
Parameter 9,0.3546589305900004,0.31462999999999997,0.1801171165986659,7.0261e-05,0.99638,0.3
Parameter 10,0.2773654945999998,0.20656000000000002,0.2177427113183657,0.0011425,0.98854,0.2
Parameter 11,0.22935419263999982,0.294855,0.5494655649768259,-0.99861,1.0,0.4
