Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.5146873517587938,0.48538,0.23087595604302488,0.019703,0.99999,0.5
Parameter 2,0.3159531261306533,0.31574,0.2033805239309696,0.0045907,0.85164,0.3
Parameter 3,0.1875817199581446,0.16995,0.17216983913692446,8.9208e-09,0.66703,0.2
Parameter 4,0.08434757484861254,0.084917,0.05922284317868306,2.9239e-09,0.29564,0.1
Parameter 5,0.20605600301507537,0.20978,0.0693263083354139,0.0018646,0.36394,0.2
Parameter 6,0.289225812798995,0.28043,0.18828004693637673,1.7286e-05,0.86473,0.3
Parameter 7,0.1508267713421105,0.11366,0.1431719382131261,2.0645e-07,0.57273,0.1
Parameter 8,0.2635942341708542,0.25266,0.15683074954414472,0.0011453,0.66569,0.3
Parameter 9,0.3030671809045225,0.30154,0.07354542259461525,0.083409,0.49887,0.3
Parameter 10,0.1892965700201005,0.19159,0.07380312072258513,2.234e-06,0.38282,0.2
Parameter 11,0.3460530628140705,0.53276,0.6110908015861789,-0.99745,1.0,0.4
