Parameter,Mean,Median,Std,Min,Max,Real Value,Size
Parameter 1,0.1492594333333333,0.18286,0.4487778132783799,-0.98316,0.65586,0.5,200
Parameter 2,0.2211257777777778,0.23445,0.3101692442543005,-0.46396,0.66767,0.2,200
Parameter 3,0.1535113333333333,0.23857,0.4184698734739854,-0.9369,0.57397,0.3,200
Parameter 4,0.1630226666666666,0.2425,0.3764645448190012,-0.80124,0.54229,0.2,200
Parameter 5,0.2834988888888889,0.30697,0.1242152826922717,0.12273,0.47148,0.3,200
Parameter 6,0.2478604444444444,0.24274,0.2351062406691499,-0.11104,0.58918,0.4,200
Parameter 7,0.146423,0.21795,0.4022040726889219,-0.86609,0.66851,0.2,200
Parameter 8,0.3175411111111111,0.26246,0.2729154880359055,0.01402,0.97178,0.3,200
Parameter 9,0.2001165555555555,0.24553,0.3540777733986046,-0.67205,0.68855,-0.5,200
Parameter 1,0.1826511111111111,0.23243,0.2969782379772948,-0.61967,0.42526,0.5,500
Parameter 2,0.2284633333333333,0.23894,0.3235343929854204,-0.52056,0.75031,0.2,500
Parameter 3,0.1767323333333333,0.274,0.3330743931623151,-0.61651,0.64201,0.3,500
Parameter 4,0.2835244444444444,0.32714,0.107691804816761,0.12979,0.42632,0.2,500
Parameter 5,0.1726433333333333,0.18879,0.4622660422070582,-0.93219,0.90251,0.3,500
Parameter 6,0.2656057777777778,0.27253,0.1049651621378125,0.059592,0.42394,0.4,500
Parameter 7,0.1817308888888889,0.21902,0.3415511620931919,-0.63179,0.58517,0.2,500
Parameter 8,0.2021444444444444,0.26101,0.2321345248921701,-0.43158,0.36742,0.3,500
Parameter 9,0.2079703333333333,0.29562,0.2934236246392652,-0.54537,0.54353,-0.5,500
Parameter 1,0.168703,0.26574,0.3728297034196712,-0.82149,0.50655,0.5,1000
Parameter 2,0.3201293333333333,0.20159,0.2499933847195872,0.034874,0.80643,0.2,1000
Parameter 3,0.2271818888888888,0.27405,0.3080480317159952,-0.51656,0.65752,0.3,1000
Parameter 4,0.2615204444444444,0.2958,0.1392558438646979,-0.038196,0.45696,0.2,1000
Parameter 5,0.2515158888888888,0.28987,0.2587569811783697,-0.30129,0.66441,0.3,1000
Parameter 6,0.167291111111111,0.21494,0.3884807710798122,-0.86552,0.57066,0.4,1000
Parameter 7,0.2392214444444444,0.26935,0.2249191083800332,-0.27329,0.50653,0.2,1000
Parameter 8,0.2316344444444444,0.20992,0.2730739488006504,-0.39609,0.69588,0.3,1000
Parameter 9,0.2278055555555555,0.2384,0.2494883254944501,-0.36716,0.59473,-0.5,1000
