Parameter,Mean,Median,Std,Min,Max,Real Value,Size
Parameter 1,0.4654281183999997,0.45142,0.2103188134835018,0.0076832,1.0,0.5,200
Parameter 2,0.3528329685584199,0.351495,0.1969444511999205,7.7921e-07,0.88614,0.3,200
Parameter 3,0.1727583463349345,0.137405,0.1646650068266019,5.3853e-09,0.83171,0.2,200
Parameter 4,0.0901418255244879,0.0808055,0.0620797454641309,2.8229e-09,0.30223,0.1,200
Parameter 5,0.1969580168000001,0.19355,0.0748946067498377,0.0011564,0.43404,0.2,200
Parameter 6,0.2905204268449797,0.270115,0.2019128136931977,4.0093e-07,0.99987,0.3,200
Parameter 7,0.15020293059572,0.1138899999999999,0.1528065219121854,1.6648e-08,0.65578,0.1,200
Parameter 8,0.2691178493712198,0.274825,0.162113847553164,4.5416e-07,0.79495,0.3,200
Parameter 9,0.302350778,0.303905,0.0744261401923861,0.083661,0.52633,0.3,200
Parameter 10,0.1825613515899998,0.180875,0.0751300601705944,1.0735e-05,0.39075,0.2,200
Parameter 11,0.2522361338000001,0.413865,0.6276028470700286,-0.99999,1.0,0.4,200
Parameter 1,0.48769248,0.46472,0.1644071947691146,0.1242,0.99634,0.5,500
Parameter 2,0.3210855563200001,0.33136,0.1699067398644701,0.00010953,0.69362,0.3,500
Parameter 3,0.1927103802403819,0.1762099999999999,0.1463309318922643,1.9764e-09,0.62682,0.2,500
Parameter 4,0.0945280280725398,0.092817,0.0437387923743868,4.6627e-07,0.23983,0.1,500
Parameter 5,0.1963712659999998,0.19617,0.0466580042588111,0.067934,0.32514,0.2,500
Parameter 6,0.2969551246450002,0.299855,0.1577978668862703,6.1425e-06,0.81744,0.3,500
Parameter 7,0.1422065011260346,0.108735,0.139522636715559,1.9124e-09,0.61563,0.1,500
Parameter 8,0.2579607531999998,0.2754999999999999,0.1341411532153084,0.0011993,0.62954,0.3,500
Parameter 9,0.3068782600000002,0.3045,0.0427145924195982,0.19063,0.41168,0.3,500
Parameter 10,0.1946730600000001,0.195695,0.0437884516357041,0.066439,0.30627,0.2,500
Parameter 11,0.3542935041999998,0.42177,0.4787311052869656,-0.99188,1.0,0.4,500
Parameter 1,0.4973397999999998,0.4857249999999999,0.1274684827020389,0.20588,0.94773,0.5,1000
Parameter 2,0.3127527718424396,0.32091,0.1598269450960312,1.6122e-07,0.64858,0.3,1000
Parameter 3,0.1917658044132279,0.1842349999999999,0.1352322787626516,1.6464e-08,0.57232,0.2,1000
Parameter 4,0.0967179052,0.096714,0.0314796770540317,0.0018896,0.19567,0.1,1000
Parameter 5,0.1992496400000002,0.201065,0.0309969859481595,0.11079,0.29111,0.2,1000
Parameter 6,0.2843306058000001,0.28737,0.1112025326499527,0.0056916,0.71696,0.3,1000
Parameter 7,0.1372962245934286,0.10801,0.1276241845476165,8.1343e-09,0.53766,0.1,1000
Parameter 8,0.2680124556000001,0.28894,0.1170101547384032,0.0027714,0.49676,0.3,1000
Parameter 9,0.3035915,0.303045,0.0309197905094779,0.19756,0.39553,0.3,1000
Parameter 10,0.1975426800000001,0.198455,0.0317579507968886,0.10582,0.28973,0.2,1000
Parameter 11,0.3568380383800001,0.3653,0.404888424448717,-0.99108,0.99997,0.4,1000
