Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.48769248,0.46472,0.1644071947691146,0.1242,0.99634,0.5
Parameter 2,0.3210855563200001,0.33136,0.16990673986447016,0.00010953,0.69362,0.3
Parameter 3,0.1927103802403819,0.17620999999999998,0.1463309318922643,1.9764e-09,0.62682,0.2
Parameter 4,0.09452802807253989,0.092817,0.0437387923743868,4.6627e-07,0.23983,0.1
Parameter 5,0.19637126599999985,0.19617,0.046658004258811184,0.067934,0.32514,0.2
Parameter 6,0.2969551246450002,0.299855,0.15779786688627037,6.1425e-06,0.81744,0.3
Parameter 7,0.1422065011260346,0.108735,0.139522636715559,1.9124e-09,0.61563,0.1
Parameter 8,0.2579607531999998,0.27549999999999997,0.13414115321530842,0.0011993,0.62954,0.3
Parameter 9,0.3068782600000002,0.3045,0.04271459241959824,0.19063,0.41168,0.3
Parameter 10,0.19467306000000012,0.195695,0.043788451635704134,0.066439,0.30627,0.2
Parameter 11,0.35429350419999983,0.42177,0.47873110528696566,-0.99188,1.0,0.4
