Parameter,Mean,Median,Std,Min,Max,Real Value,MADE,MSE,Size
Parameter 1,0.6699940250214397,0.5921321495033598,0.4287045644788338,-0.4255639634692045,2.550031871680398,0.5,0.3220139239341413,0.2126855721479763,200
Parameter 2,0.187117132323539,0.2008883504106392,0.375762064779705,-0.8884938469100476,1.3223528559777231,0.3,0.3023608077346312,0.1539396711423686,200
Parameter 3,0.2502129327722382,0.2320105025537738,0.3213424656922753,-0.5604355790261105,1.4475403888637968,0.2,0.2531160385024261,0.1057823188747804,200
Parameter 4,0.0918065431082832,0.0936452781350072,0.0720701354143044,-0.1351376557636583,0.2594223512455131,0.1,0.0589100498725285,0.0052612371544726,200
Parameter 5,0.1834266442876894,0.1784218289239711,0.562137841648775,-1.82483914118884,2.331971363200456,0.2,0.427721594061383,0.3162736291331101,200
Parameter 6,0.4119397167663212,0.4137513512359121,0.3982570628842614,-0.7786584418347553,2.3309637270622847,0.3,0.3057535971125472,0.1711391883269228,200
Parameter 7,0.1324881183879267,0.1337803559601942,0.3885497379548887,-1.2774045036805803,1.463362721726473,0.1,0.2918552677863208,0.1520263767012006,200
Parameter 8,0.2299961809361509,0.2385181098225635,0.3065746439978599,-0.7967078814688606,1.164842203436255,0.3,0.2401280204560471,0.0988885470259386,200
Parameter 9,0.3262791056357241,0.3527773142364988,0.5511494372896789,-1.7945220242728053,2.263913646086285,0.3,0.4226440233674473,0.3044562936177431,200
Parameter 10,0.2008830191484999,0.1991639921487528,0.0768568718165207,-0.0343876955280509,0.4124890165579587,0.2,0.0596181542345644,0.0059077584682377,200
Parameter 1,0.6018766697964026,0.5668450542407888,0.2587888791123297,0.0421590166313028,1.832933500079701,0.5,0.2033392145990274,0.0773505398010212,500
Parameter 2,0.2164827101688296,0.2587644456379367,0.2491370202968031,-0.6508717670973867,0.8511427953724116,0.3,0.1903442628757626,0.0690443925831133,500
Parameter 3,0.2488297118770587,0.2239762610192552,0.2055359964621707,-0.420831603494414,0.8852621015644404,0.2,0.1552320572427488,0.0446293866036939,500
Parameter 4,0.0942824169349756,0.089351999686568,0.0473009623835434,-0.0304444255215934,0.2538184904803552,0.1,0.0390600379857859,0.0022700717985148,500
Parameter 5,0.1574045882508548,0.1649959896589471,0.388079494788166,-1.4167488366849947,1.236937066550233,0.2,0.2997580165185048,0.1524200633771174,500
Parameter 6,0.3421742806010029,0.3613551811453194,0.2723804952530968,-0.828859740372424,1.1884927805705408,0.3,0.2025058602256392,0.0759698041385344,500
Parameter 7,0.1031513475874319,0.0789036796844136,0.2811900695119474,-1.14957980793129,1.2361857784655668,0.1,0.2135430730232732,0.0790777861837506,500
Parameter 8,0.2865578384626397,0.2872448378836086,0.2193273563414885,-0.3679302288290504,1.170071982720104,0.3,0.1698626777596091,0.0482851809465427,500
Parameter 9,0.3471397893816935,0.3757656457692725,0.3793132518745048,-0.9138447905417691,1.7916857067008145,0.3,0.2930968310848046,0.1461007027905619,500
Parameter 10,0.1935094419111974,0.1926517653679144,0.0475678773322593,0.0718108165135316,0.3048403812897982,0.2,0.0390063861057238,0.0023048302982009,500
Parameter 1,0.5359585333638586,0.5181776353693865,0.1665463293299411,0.2076736574907918,1.072377666215322,0.5,0.131068698420165,0.0290306959349569,1000
Parameter 2,0.2403479560853576,0.2625305075571309,0.2221601052260109,-0.4931573769497743,0.7652323252576633,0.3,0.180595888143686,0.0529134786972266,1000
Parameter 3,0.2444400173603153,0.2352630433391127,0.1878568181332184,-0.2493385171028233,0.8822640825123137,0.2,0.1522022007053132,0.0372650992621222,1000
Parameter 4,0.1008098332697845,0.0999604018267271,0.0326914879617767,0.0215455614948756,0.1787187636137108,0.1,0.0266578064797368,0.0010693892150798,1000
Parameter 5,0.1733271329561638,0.1788141351129027,0.3258730701442268,-1.078133792925231,1.2554868834793234,0.2,0.2516750972796638,0.1069046996815623,1000
Parameter 6,0.321415485414515,0.327915069214573,0.1755770375169776,-0.3244924398722604,0.830681924952668,0.3,0.1403681099117192,0.0312859191187774,1000
Parameter 7,0.1225373418880643,0.1067703013609604,0.2266162806412688,-0.4974936112363746,0.9449805133287634,0.1,0.173141734777824,0.0518628704310618,1000
Parameter 8,0.275237333254955,0.2752242269525332,0.1884088575709921,-0.3350950993189405,0.8886070192858209,0.3,0.1466515905481452,0.0361110872755325,1000
Parameter 9,0.3234214227182809,0.333268986982174,0.3178402867752373,-0.7618698536942975,1.5304960968074623,0.3,0.2447284838598856,0.1015710109395136,1000
Parameter 10,0.1997247266656727,0.1992135067867295,0.033668037673606,0.123893030658454,0.2884871761256894,0.2,0.0271718269512234,0.0011336125361999,1000
