Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.6699940250214397,0.5921321495033598,0.42870456447883387,-0.42556396346920455,2.550031871680398,0.5
Parameter 2,0.18711713232353908,0.2008883504106392,0.375762064779705,-0.8884938469100476,1.3223528559777233,0.3
Parameter 3,0.2502129327722382,0.2320105025537738,0.32134246569227537,-0.5604355790261105,1.4475403888637968,0.2
Parameter 4,0.09180654310828328,0.09364527813500728,0.07207013541430449,-0.13513765576365838,0.25942235124551316,0.1
Parameter 5,0.18342664428768948,0.17842182892397118,0.562137841648775,-1.8248391411888398,2.3319713632004553,0.2
Parameter 6,0.4119397167663212,0.4137513512359121,0.39825706288426144,-0.7786584418347553,2.3309637270622847,0.3
Parameter 7,0.13248811838792673,0.1337803559601942,0.38854973795488873,-1.2774045036805803,1.463362721726473,0.1
Parameter 8,0.2299961809361509,0.23851810982256358,0.30657464399785994,-0.7967078814688606,1.164842203436255,0.3
Parameter 9,0.32627910563572415,0.35277731423649883,0.5511494372896789,-1.7945220242728053,2.2639136460862854,0.3
Parameter 10,0.20088301914849993,0.19916399214875286,0.07685687181652072,-0.03438769552805093,0.4124890165579587,0.2
